time,frequency,confidence
0.000,32.687,0.112760
0.100,175.286,0.914453
0.200,174.574,0.914866
0.300,175.395,0.905168
0.400,175.130,0.909103
0.500,176.041,0.918463
0.600,175.268,0.893814
0.700,175.611,0.930226
0.800,174.815,0.907530
0.900,175.058,0.910396
1.000,175.256,0.914777
1.100,176.445,0.904220
1.200,174.715,0.873112
1.300,176.041,0.848552
1.400,173.173,0.853044
1.500,175.820,0.723771
1.600,175.514,0.678219
1.700,176.496,0.810967
1.800,176.658,0.143924
1.900,177.832,0.751129
2.000,175.338,0.713637
2.100,175.350,0.850114
2.200,175.654,0.812140
2.300,175.661,0.865019
2.400,174.880,0.206853
2.500,95.267,0.040153
2.600,32.390,0.046469
2.700,254.404,0.725629
2.800,280.329,0.935610
2.900,273.865,0.964516
3.000,288.486,0.942180
3.100,325.017,0.930689
3.200,341.373,0.959357
3.300,345.258,0.969682
3.400,299.865,0.892286
3.500,330.116,0.967089
3.600,306.801,0.959477
3.700,323.522,0.965067
3.800,297.627,0.954778
3.900,315.726,0.955576
4.000,310.629,0.921203
4.100,288.321,0.958030
4.200,317.613,0.833770
4.300,350.622,0.974333
4.400,348.727,0.938860
4.500,349.921,0.884714
4.600,349.038,0.914648
4.700,349.430,0.900811
4.800,351.135,0.906626
4.900,350.524,0.913936
5.000,302.480,0.892735
5.100,341.686,0.700349
5.200,345.991,0.943779
5.300,349.284,0.949550
5.400,344.916,0.946391
5.500,340.761,0.947941
5.600,347.056,0.967293
5.700,344.918,0.962217
5.800,345.009,0.956547
5.900,347.572,0.961019
6.000,347.011,0.969333
6.100,349.386,0.972121
6.200,347.068,0.966003
6.300,351.652,0.939622
6.400,348.433,0.931207
6.500,348.150,0.893370
6.600,351.421,0.908051
6.700,349.034,0.938574
6.800,350.159,0.941192
6.900,349.025,0.951048
7.000,352.533,0.929801
7.100,350.575,0.956956
7.200,350.552,0.960030
7.300,353.283,0.959674
7.400,361.045,0.686956
7.500,294.456,0.965579
7.600,358.042,0.898980
7.700,304.821,0.973207
7.800,385.327,0.725860
7.900,351.838,0.930815
8.000,400.801,0.877217
8.100,347.178,0.934158
8.200,308.341,0.968542
8.300,309.503,0.974179
8.400,313.272,0.964514
8.500,307.011,0.953839
8.600,304.058,0.962589
8.700,326.633,0.838384
8.800,301.603,0.939735
8.900,286.377,0.953423
9.000,283.808,0.968129
9.100,287.338,0.964081
9.200,347.547,0.930936
9.300,278.890,0.940037
9.400,268.505,0.977973
9.500,263.796,0.947193
9.600,279.740,0.913608
9.700,289.654,0.928611
9.800,286.063,0.900864
9.900,220.707,0.867324
10.000,214.422,0.824250
10.100,181.636,0.365239
10.200,287.993,0.542507
10.300,285.756,0.858899
10.400,288.192,0.763570
10.500,288.840,0.480461
10.600,290.611,0.491394
10.700,292.985,0.432825
10.800,392.083,0.035122
10.900,32.759,0.126657
11.000,137.875,0.080915
11.100,135.401,0.383888
11.200,236.843,0.918806
11.300,237.927,0.931418
11.400,243.289,0.928537
11.500,260.610,0.948760
11.600,256.264,0.975163
11.700,256.352,0.974333
11.800,258.227,0.948951
11.900,259.226,0.972580
12.000,260.709,0.952696
12.100,262.913,0.965917
12.200,262.589,0.970589
12.300,261.471,0.961422
12.400,258.883,0.966641
12.500,260.003,0.968568
12.600,260.146,0.967630
12.700,261.966,0.959091
12.800,288.418,0.964292
12.900,282.624,0.901282
13.000,284.279,0.929344
13.100,295.954,0.606179
