time,frequency,confidence
0.000,547.050,0.216055
0.100,323.191,0.324329
0.200,334.750,0.656953
0.300,153.091,0.101236
0.400,324.001,0.244881
0.500,322.453,0.598774
0.600,109.883,0.159563
0.700,331.647,0.487972
0.800,368.106,0.280832
0.900,233.724,0.203104
1.000,150.422,0.274080
1.100,32.846,0.173904
1.200,235.108,0.332808
1.300,462.996,0.211973
1.400,124.007,0.092364
1.500,79.034,0.581567
1.600,194.687,0.063334
1.700,115.298,0.030826
1.800,32.342,0.475898
1.900,151.949,0.348892
2.000,85.474,0.027301
2.100,329.818,0.159322
2.200,76.261,0.135654
2.300,931.903,0.112634
2.400,260.273,0.921033
2.500,288.652,0.864363
2.600,270.172,0.968528
2.700,275.058,0.965386
2.800,318.219,0.935538
2.900,327.782,0.963096
3.000,342.199,0.969745
3.100,351.072,0.969348
3.200,351.992,0.952353
3.300,347.573,0.956937
3.400,349.313,0.975158
3.500,350.517,0.979678
3.600,353.853,0.978217
3.700,347.038,0.965726
3.800,350.864,0.953285
3.900,349.954,0.958055
4.000,351.239,0.942638
4.100,351.289,0.919000
4.200,350.794,0.950295
4.300,351.056,0.956727
4.400,350.783,0.965852
4.500,350.717,0.970890
4.600,350.707,0.979836
4.700,354.019,0.983647
4.800,352.156,0.966411
4.900,351.130,0.973047
5.000,348.266,0.944638
5.100,345.462,0.971860
5.200,348.822,0.967914
5.300,371.761,0.896531
5.400,376.816,0.839776
5.500,375.283,0.946521
5.600,350.135,0.978037
5.700,353.460,0.968066
5.800,352.685,0.948064
5.900,352.303,0.938267
6.000,352.982,0.946490
6.100,351.186,0.960308
6.200,352.119,0.962406
6.300,349.516,0.976365
6.400,348.454,0.955820
6.500,350.258,0.978651
6.600,349.321,0.966060
6.700,348.618,0.954835
6.800,351.374,0.964503
6.900,367.456,0.947703
7.000,374.121,0.875789
7.100,377.509,0.821396
7.200,380.525,0.929916
7.300,378.010,0.937229
7.400,353.491,0.970775
7.500,353.935,0.973740
7.600,351.727,0.952634
7.700,352.528,0.927225
7.800,352.735,0.940010
7.900,349.813,0.973953
8.000,349.779,0.971171
8.100,346.972,0.965931
8.200,351.679,0.954978
8.300,367.097,0.960077
8.400,370.277,0.888358
8.500,374.796,0.767855
8.600,744.435,0.655499
8.700,376.151,0.746958
8.800,378.928,0.879731
8.900,429.935,0.688558
9.000,349.591,0.967270
9.100,374.673,0.855834
9.200,379.254,0.797492
9.300,379.120,0.959654
9.400,448.386,0.551222
9.500,371.406,0.956792
9.600,354.175,0.975688
9.700,351.100,0.970411
9.800,370.989,0.926991
9.900,378.010,0.816950
10.000,380.975,0.839942
10.100,384.334,0.942636
10.200,386.054,0.898783
10.300,355.192,0.959748
10.400,353.441,0.971076
10.500,353.420,0.961945
10.600,353.341,0.943073
10.700,353.074,0.922888
10.800,351.974,0.899542
10.900,355.302,0.921363
11.000,334.866,0.847801
11.100,304.839,0.968629
11.200,338.463,0.960001
11.300,350.012,0.970166
11.400,351.731,0.950771
11.500,316.263,0.875770
11.600,318.954,0.923733
11.700,43.526,0.246188
11.800,338.153,0.382427
11.900,350.311,0.681360
12.000,700.102,0.111177
12.100,350.497,0.844956
12.200,349.574,0.321872
12.300,68.258,0.131040
12.400,54.732,0.102283
12.500,41.899,0.032879
12.600,32.199,0.109687
12.700,33.452,0.136562
12.800,297.240,0.166995
12.900,33.416,0.137584
13.000,380.646,0.234441
13.100,362.194,0.162237
13.200,129.157,0.111211
13.300,317.124,0.897005
13.400,323.080,0.936990
13.500,304.180,0.978413
13.600,307.282,0.971748
13.700,309.170,0.973874
13.800,287.532,0.958753
13.900,318.651,0.958220
14.000,304.988,0.969724
14.100,341.334,0.963739
14.200,425.884,0.608984
14.300,347.699,0.961005
14.400,389.884,0.759075
14.500,459.393,0.383724
14.600,306.391,0.968575
14.700,296.050,0.942534
14.800,314.209,0.918226
14.900,310.243,0.950317
15.000,310.658,0.950709
15.100,345.463,0.967313
15.200,400.184,0.839502
15.300,346.965,0.969386
15.400,440.847,0.826247
15.500,329.499,0.946921
15.600,308.208,0.970416
15.700,303.348,0.932779
15.800,307.256,0.956220
15.900,309.445,0.970214
16.000,313.066,0.966268
16.100,310.807,0.955514
16.200,337.346,0.933521
16.300,375.243,0.701422
16.400,336.762,0.949989
16.500,343.555,0.402507
16.600,314.859,0.899697
16.700,339.551,0.944681
16.800,373.900,0.580486
16.900,355.371,0.970935
17.000,383.828,0.921534
17.100,375.878,0.955978
17.200,398.336,0.838192
17.300,383.669,0.949019
17.400,363.357,0.901683
17.500,361.518,0.759069
17.600,378.585,0.956334
17.700,385.363,0.901870
17.800,385.985,0.892347
17.900,349.606,0.978521
18.000,351.053,0.977078
18.100,378.766,0.694579
18.200,384.595,0.947874
18.300,358.327,0.842865
18.400,350.965,0.974975
18.500,351.338,0.973791
18.600,372.667,0.922665
18.700,379.069,0.942685
18.800,379.074,0.830215
18.900,381.340,0.841046
19.000,380.340,0.673961
19.100,382.503,0.839894
19.200,387.859,0.909822
19.300,373.959,0.879013
19.400,355.570,0.962931
19.500,353.348,0.973373
19.600,352.735,0.955172
19.700,352.780,0.957631
19.800,352.713,0.962872
19.900,354.354,0.980157
20.000,353.392,0.965027
20.100,353.317,0.967551
20.200,353.748,0.977708
20.300,354.693,0.975817
20.400,353.483,0.968714
20.500,352.776,0.950320
20.600,353.138,0.942798
20.700,353.442,0.929040
20.800,355.954,0.933338
20.900,305.243,0.919562
21.000,316.967,0.927316
21.100,117.099,0.563985
21.200,309.108,0.648013
21.300,236.699,0.252032
21.400,352.418,0.595804
21.500,290.577,0.240342
21.600,351.610,0.493636
21.700,345.630,0.589153
21.800,288.916,0.268503
21.900,367.927,0.314414
22.000,373.565,0.806311
22.100,397.745,0.929273
22.200,405.091,0.804622
22.300,815.699,0.777307
22.400,818.585,0.691678
22.500,823.996,0.804720
22.600,417.292,0.840567
22.700,402.555,0.921489
22.800,469.216,0.392599
22.900,400.267,0.901629
23.000,433.904,0.674236
23.100,356.624,0.953071
23.200,352.551,0.945010
23.300,379.173,0.665594
23.400,381.387,0.940131
23.500,354.589,0.971530
23.600,351.039,0.938631
23.700,350.579,0.926307
23.800,368.303,0.879186
23.900,307.895,0.972240
24.000,322.654,0.963030
24.100,305.210,0.985321
24.200,306.844,0.960160
24.300,347.948,0.809897
24.400,312.050,0.952570
24.500,324.358,0.903977
24.600,314.625,0.940746
24.700,316.011,0.946268
24.800,312.165,0.907205
24.900,257.257,0.798568
25.000,351.482,0.974201
25.100,348.141,0.954860
25.200,348.262,0.955436
25.300,365.464,0.926402
25.400,388.197,0.887642
25.500,388.572,0.930660
25.600,324.432,0.824805
25.700,313.201,0.952362
25.800,355.431,0.974289
25.900,348.969,0.970562
26.000,350.261,0.978570
26.100,349.399,0.976619
26.200,351.507,0.971173
26.300,350.790,0.972623
26.400,350.527,0.974903
26.500,349.643,0.977655
26.600,351.649,0.974652
26.700,348.878,0.972746
26.800,354.279,0.980706
26.900,355.172,0.975671
27.000,353.580,0.974005
27.100,352.280,0.952388
27.200,342.625,0.921182
27.300,302.138,0.942514
27.400,315.000,0.965429
27.500,309.500,0.971799
27.600,353.507,0.975697
27.700,349.403,0.972901
27.800,355.011,0.971800
27.900,333.895,0.931226
28.000,327.536,0.874171
28.100,282.589,0.884205
28.200,285.661,0.881202
28.300,309.524,0.967809
28.400,328.063,0.471865
28.500,279.999,0.890855
28.600,324.439,0.703189
28.700,346.729,0.541612
28.800,346.844,0.970498
28.900,379.421,0.731686
29.000,318.816,0.837155
29.100,350.166,0.977249
29.200,352.602,0.963833
29.300,396.611,0.961648
29.400,368.255,0.926420
29.500,352.498,0.962513
29.600,351.518,0.973918
29.700,351.582,0.969579
29.800,353.231,0.971925
29.900,353.955,0.982787
30.000,350.826,0.979511
30.100,351.774,0.968055
30.200,352.656,0.960872
30.300,352.106,0.956819
30.400,352.519,0.948197
30.500,351.611,0.960587
30.600,351.991,0.950191
30.700,352.720,0.916971
30.800,318.262,0.905748
30.900,311.520,0.957996
31.000,308.516,0.677782
31.100,301.268,0.916012
31.200,319.719,0.665231
31.300,396.741,0.933141
31.400,391.801,0.886380
31.500,396.869,0.894157
31.600,383.751,0.933502
31.700,391.094,0.900139
31.800,382.850,0.914655
31.900,384.241,0.941430
32.000,385.921,0.937314
32.100,387.017,0.914001
32.200,386.632,0.914007
32.300,386.747,0.912774
32.400,348.445,0.938964
32.500,383.160,0.468159
32.600,348.660,0.962294
32.700,419.330,0.506496
32.800,350.926,0.978048
32.900,387.342,0.535934
33.000,315.713,0.950011
33.100,314.988,0.884680
33.200,313.781,0.949563
33.300,316.210,0.967042
33.400,318.482,0.938908
33.500,294.115,0.661527
33.600,288.355,0.960970
33.700,285.010,0.972852
33.800,331.470,0.898642
33.900,287.016,0.969336
34.000,284.764,0.971554
34.100,324.173,0.916024
34.200,305.770,0.980135
34.300,315.376,0.950319
34.400,323.820,0.964207
34.500,309.936,0.966067
34.600,318.389,0.946647
34.700,327.426,0.970253
34.800,312.056,0.972963
34.900,315.655,0.964210
35.000,322.414,0.965408
35.100,316.812,0.952451
35.200,311.490,0.967840
35.300,326.123,0.965139
35.400,294.347,0.967823
35.500,289.393,0.916569
35.600,310.675,0.835588
35.700,351.721,0.971671
35.800,351.553,0.968791
35.900,352.500,0.952641
36.000,350.498,0.966045
36.100,352.005,0.946700
36.200,353.050,0.949320
36.300,354.405,0.947448
36.400,304.875,0.941743
36.500,323.461,0.888710
36.600,275.877,0.931185
36.700,307.551,0.734586
36.800,306.891,0.950247
36.900,295.579,0.973139
37.000,325.266,0.940168
37.100,338.723,0.964502
37.200,330.419,0.977682
37.300,309.895,0.960569
37.400,309.824,0.966556
37.500,311.335,0.969735
37.600,310.499,0.951058
37.700,311.737,0.972107
37.800,318.506,0.942742
37.900,285.365,0.957070
38.000,277.541,0.708757
38.100,315.645,0.564745
38.200,258.522,0.312928
38.300,297.241,0.443182
38.400,137.669,0.895818
38.500,274.726,0.555598
38.600,266.470,0.143455
38.700,68.921,0.430011
38.800,278.481,0.269221
38.900,138.513,0.277624
39.000,275.729,0.458522
39.100,39.171,0.039255
39.200,44.370,0.114660
39.300,52.038,0.032921
39.400,46.203,0.263347
39.500,46.432,0.180265
39.600,43.600,0.071294
39.700,32.005,0.076840
39.800,46.152,0.234117
39.900,128.795,0.146818
40.000,334.904,0.110342
40.100,280.247,0.837372
40.200,352.511,0.959134
40.300,349.723,0.974733
40.400,349.222,0.950221
40.500,354.477,0.977608
40.600,350.710,0.236087
40.700,300.543,0.454580
40.800,301.584,0.863778
40.900,326.843,0.506806
41.000,351.234,0.972255
41.100,350.631,0.980424
41.200,349.644,0.981019
41.300,347.604,0.962170
41.400,346.629,0.934203
41.500,371.500,0.923561
41.600,337.576,0.839493
41.700,353.545,0.962446
41.800,354.160,0.974989
41.900,355.066,0.971488
42.000,353.357,0.968526
42.100,354.890,0.962570
42.200,351.796,0.961957
42.300,333.729,0.727057
42.400,311.578,0.907794
42.500,157.281,0.841776
42.600,312.797,0.956198
42.700,379.063,0.962357
42.800,333.349,0.850329
42.900,328.207,0.649515
43.000,349.782,0.970966
43.100,338.444,0.692653
43.200,308.294,0.955761
43.300,328.112,0.942461
43.400,221.302,0.421616
43.500,347.460,0.964415
43.600,354.519,0.975335
43.700,362.323,0.959179
43.800,382.513,0.937817
43.900,386.865,0.887663
44.000,384.371,0.938156
44.100,382.326,0.904772
44.200,346.417,0.920907
44.300,352.171,0.959756
44.400,353.184,0.967035
44.500,352.944,0.961633
44.600,353.856,0.969239
44.700,352.257,0.953097
44.800,313.747,0.879718
44.900,164.580,0.886758
45.000,250.430,0.310681
45.100,308.949,0.223597
45.200,336.501,0.843868
45.300,345.680,0.903524
45.400,339.927,0.327802
45.500,358.705,0.958822
45.600,398.721,0.790055
45.700,332.854,0.934189
45.800,392.103,0.940011
45.900,390.765,0.931232
46.000,394.040,0.952144
46.100,813.024,0.758819
46.200,814.649,0.747351
46.300,403.008,0.767903
46.400,394.006,0.856162
46.500,393.703,0.794186
46.600,393.172,0.817923
46.700,390.784,0.929588
46.800,351.991,0.959094
46.900,354.654,0.974563
47.000,376.380,0.847845
47.100,377.557,0.744809
47.200,351.200,0.973923
47.300,356.416,0.933429
47.400,379.094,0.798247
47.500,353.983,0.976278
47.600,358.313,0.973741
47.700,383.974,0.933986
47.800,393.394,0.938652
47.900,358.469,0.940386
48.000,353.930,0.970613
48.100,352.849,0.964025
48.200,352.722,0.962626
48.300,329.084,0.694367
48.400,321.758,0.836338
48.500,321.118,0.904442
48.600,315.831,0.953719
48.700,353.424,0.529132
48.800,312.015,0.971911
48.900,338.638,0.455533
49.000,288.672,0.927706
49.100,326.877,0.906307
49.200,331.039,0.714758
49.300,352.948,0.971762
49.400,375.941,0.896012
49.500,313.289,0.958654
49.600,357.337,0.955298
49.700,348.663,0.957281
49.800,448.356,0.925919
49.900,366.343,0.927177
50.000,353.606,0.974150
50.100,352.554,0.958025
50.200,353.637,0.977546
50.300,352.509,0.961939
50.400,352.482,0.955545
50.500,353.858,0.979818
50.600,344.830,0.964101
50.700,357.651,0.973950
50.800,348.803,0.966241
50.900,352.916,0.965144
51.000,354.556,0.982020
51.100,347.456,0.964026
51.200,357.252,0.973944
51.300,349.604,0.980560
51.400,354.086,0.982253
51.500,348.654,0.969315
51.600,354.236,0.982591
51.700,349.196,0.977045
51.800,385.228,0.415632
51.900,350.969,0.666269
52.000,242.726,0.537210
52.100,351.234,0.877114
52.200,352.626,0.835405
52.300,351.921,0.893232
52.400,358.007,0.743914
52.500,356.657,0.491355
52.600,34.543,0.480400
52.700,32.555,0.037418
52.800,304.832,0.053416
52.900,57.338,0.015088
53.000,42.742,0.105953
53.100,34.874,0.532108
53.200,41.032,0.239476
53.300,1489.965,0.388355
53.400,1513.780,0.238230
53.500,1478.611,0.554203
53.600,294.194,0.211515
53.700,105.373,0.146715
53.800,364.721,0.690590
53.900,389.138,0.629721
54.000,384.113,0.962503
54.100,397.456,0.963335
54.200,818.168,0.718859
54.300,822.654,0.775871
54.400,818.125,0.810722
54.500,798.405,0.700583
54.600,400.714,0.848643
54.700,397.194,0.899220
54.800,395.836,0.775902
