time,frequency,confidence
0.000,88.646,0.096823
0.100,173.402,0.606107
0.200,164.259,0.073973
0.300,139.942,0.073035
0.400,130.535,0.594982
0.500,168.547,0.116740
0.600,32.175,0.368632
0.700,256.865,0.070079
0.800,315.641,0.160644
0.900,43.417,0.188098
1.000,36.783,0.080771
1.100,165.423,0.041499
1.200,319.351,0.507342
1.300,172.744,0.099156
1.400,49.620,0.025643
1.500,175.658,0.113768
1.600,177.222,0.306853
1.700,172.511,0.115469
1.800,305.642,0.455508
1.900,290.530,0.191063
2.000,128.177,0.772157
2.100,180.392,0.736284
2.200,232.505,0.883684
2.300,242.396,0.962418
2.400,249.654,0.909716
2.500,266.182,0.892774
2.600,260.046,0.966990
2.700,263.948,0.942779
2.800,264.072,0.935112
2.900,260.912,0.947595
3.000,261.410,0.961976
3.100,260.586,0.959502
3.200,260.097,0.969581
3.300,262.527,0.974405
3.400,261.239,0.957090
3.500,261.117,0.949068
3.600,261.542,0.963144
3.700,258.625,0.954210
3.800,260.629,0.953954
3.900,259.821,0.968400
4.000,260.955,0.948065
4.100,260.019,0.967166
4.200,259.265,0.970063
4.300,260.843,0.951033
4.400,258.064,0.953162
4.500,263.546,0.957153
4.600,258.867,0.962553
4.700,264.832,0.967945
4.800,262.070,0.968767
4.900,259.997,0.966711
5.000,263.801,0.949297
5.100,264.712,0.966511
5.200,263.982,0.937278
5.300,261.056,0.947417
5.400,238.230,0.720923
5.500,260.266,0.953302
5.600,260.618,0.958841
5.700,256.914,0.981893
5.800,275.752,0.953075
5.900,284.448,0.981488
6.000,293.104,0.856131
6.100,335.258,0.966964
6.200,320.905,0.935722
6.300,341.982,0.968262
6.400,345.411,0.973119
6.500,348.634,0.963965
6.600,345.785,0.972337
6.700,348.226,0.947274
6.800,344.382,0.945564
6.900,347.245,0.943866
7.000,345.964,0.940955
7.100,347.629,0.889877
7.200,343.875,0.890585
7.300,346.913,0.937438
7.400,347.262,0.918807
7.500,348.855,0.818354
7.600,350.658,0.915471
7.700,376.356,0.439229
7.800,332.869,0.820503
7.900,287.593,0.896171
8.000,292.853,0.521440
8.100,326.858,0.968845
8.200,407.926,0.873639
8.300,343.435,0.959080
8.400,332.946,0.913142
8.500,338.768,0.629621
8.600,346.241,0.963649
8.700,352.557,0.939319
8.800,445.089,0.914119
8.900,357.436,0.941722
9.000,345.703,0.974545
9.100,342.064,0.966702
9.200,348.780,0.961311
9.300,345.351,0.961389
9.400,344.920,0.968147
9.500,346.994,0.974787
9.600,344.620,0.958207
9.700,345.705,0.977427
9.800,350.434,0.982374
9.900,347.221,0.971428
10.000,347.027,0.973912
10.100,349.449,0.975205
10.200,350.062,0.967868
10.300,341.764,0.941472
10.400,349.495,0.940849
10.500,346.662,0.959107
10.600,347.944,0.933202
10.700,345.629,0.950930
10.800,349.458,0.957382
10.900,346.627,0.957510
11.000,351.157,0.951846
11.100,699.883,0.297389
11.200,345.456,0.799551
11.300,348.260,0.723296
11.400,348.641,0.900134
11.500,348.203,0.910734
11.600,348.066,0.765789
11.700,347.705,0.872245
11.800,284.412,0.146577
11.900,346.719,0.619760
12.000,347.858,0.196882
12.100,348.733,0.330244
12.200,321.630,0.335240
12.300,313.457,0.125571
12.400,39.861,0.183724
12.500,315.843,0.076128
12.600,46.366,0.132514
12.700,181.482,0.250076
12.800,34.974,0.060264
12.900,315.932,0.653306
13.000,377.139,0.938334
13.100,391.226,0.909388
13.200,394.506,0.952559
13.300,398.955,0.951299
13.400,402.612,0.905071
13.500,403.248,0.828483
13.600,403.191,0.837026
13.700,402.538,0.797847
13.800,402.033,0.877872
13.900,406.066,0.701246
14.000,403.611,0.836262
14.100,426.082,0.435763
14.200,398.079,0.826358
14.300,417.896,0.523947
14.400,342.023,0.932772
14.500,464.102,0.712105
14.600,386.058,0.935363
14.700,430.021,0.749733
14.800,381.961,0.915613
14.900,338.991,0.959944
15.000,350.578,0.979088
15.100,353.587,0.975490
15.200,349.041,0.964760
15.300,349.816,0.969001
15.400,349.829,0.971891
15.500,348.775,0.971659
15.600,348.951,0.974574
15.700,348.994,0.968229
15.800,351.460,0.971626
15.900,352.584,0.950949
