time,frequency,confidence
0.000,547.125,0.141318
0.100,175.622,0.602800
0.200,174.973,0.642042
0.300,176.832,0.395558
0.400,173.057,0.560601
0.500,174.391,0.501658
0.600,33.191,0.081686
0.700,316.275,0.095130
0.800,262.925,0.830879
0.900,288.980,0.946696
1.000,301.294,0.958230
1.100,332.341,0.957897
1.200,347.951,0.956632
1.300,349.074,0.975305
1.400,357.097,0.968563
1.500,347.591,0.962675
1.600,331.059,0.888634
1.700,313.683,0.952234
1.800,301.907,0.975287
1.900,327.282,0.942315
2.000,309.211,0.958789
2.100,313.834,0.954683
2.200,310.973,0.941213
2.300,317.673,0.921882
2.400,307.369,0.961042
2.500,311.788,0.965785
2.600,313.148,0.961237
2.700,303.258,0.955902
2.800,315.520,0.966180
2.900,304.877,0.984796
3.000,307.340,0.969646
3.100,309.584,0.972042
3.200,307.284,0.970862
3.300,309.850,0.969442
3.400,309.149,0.978636
3.500,307.204,0.972390
3.600,306.003,0.982062
3.700,310.492,0.934655
3.800,351.916,0.966723
3.900,350.969,0.945045
4.000,351.807,0.934041
4.100,351.138,0.861654
4.200,352.412,0.936292
4.300,303.892,0.955743
4.400,312.528,0.975832
4.500,302.550,0.973276
4.600,313.531,0.955808
4.700,312.072,0.973014
4.800,307.257,0.966440
4.900,314.842,0.954160
5.000,302.516,0.969123
5.100,310.424,0.951829
5.200,310.016,0.962859
5.300,304.515,0.972773
5.400,314.760,0.943166
5.500,304.302,0.974692
5.600,319.178,0.949732
5.700,310.504,0.940361
5.800,320.052,0.907406
5.900,289.840,0.927358
6.000,379.579,0.261028
6.100,347.400,0.967366
6.200,353.294,0.961227
6.300,348.818,0.958949
6.400,348.260,0.933114
6.500,346.222,0.979538
6.600,344.602,0.956440
6.700,347.349,0.969697
6.800,346.923,0.976129
6.900,348.375,0.951926
7.000,349.760,0.942688
7.100,349.053,0.924268
7.200,352.396,0.878899
7.300,287.058,0.789786
7.400,266.614,0.220341
7.500,345.398,0.807670
7.600,698.074,0.587317
7.700,349.629,0.860978
7.800,348.616,0.617918
7.900,350.834,0.816551
8.000,349.614,0.806752
8.100,358.679,0.429919
8.200,303.045,0.125634
8.300,347.452,0.305010
8.400,219.734,0.848706
8.500,264.034,0.936401
8.600,306.019,0.884712
8.700,353.550,0.973989
8.800,360.674,0.948354
8.900,350.321,0.923619
9.000,354.922,0.956394
9.100,346.541,0.944680
9.200,356.734,0.939646
9.300,350.557,0.944738
9.400,375.231,0.796459
9.500,359.101,0.945752
9.600,358.938,0.884488
9.700,315.564,0.810585
9.800,326.347,0.927872
9.900,279.038,0.941536
10.000,330.878,0.855830
10.100,296.970,0.954541
10.200,316.923,0.938922
10.300,298.102,0.974194
10.400,315.439,0.966690
10.500,307.771,0.972774
10.600,305.660,0.978111
10.700,339.227,0.958870
10.800,261.874,0.356436
10.900,307.323,0.967764
11.000,312.317,0.955203
11.100,312.375,0.813281
11.200,291.888,0.962629
11.300,290.103,0.908729
11.400,320.669,0.830820
11.500,265.432,0.969066
11.600,261.932,0.965749
11.700,279.427,0.925355
11.800,281.709,0.950612
11.900,276.054,0.940100
12.000,258.720,0.948394
12.100,264.168,0.939945
12.200,262.429,0.969624
12.300,258.389,0.953494
12.400,265.879,0.974507
12.500,263.539,0.953355
12.600,261.077,0.948732
12.700,258.987,0.966192
12.800,259.605,0.970802
12.900,254.611,0.959080
13.000,259.769,0.965533
13.100,258.974,0.955953
13.200,262.066,0.943420
13.300,261.814,0.970004
13.400,258.380,0.953534
13.500,282.603,0.927308
13.600,281.995,0.952805
13.700,307.866,0.933606
13.800,290.162,0.918421
13.900,312.062,0.962013
14.000,365.627,0.803699
14.100,308.515,0.974453
14.200,346.839,0.965792
14.300,343.316,0.957082
14.400,414.233,0.895110
14.500,327.252,0.891981
14.600,311.505,0.970568
14.700,309.589,0.964678
14.800,339.278,0.957154
14.900,347.790,0.926266
15.000,300.974,0.955913
15.100,313.003,0.966502
15.200,307.686,0.967151
15.300,289.620,0.875915
15.400,348.741,0.966611
15.500,346.327,0.971160
15.600,349.250,0.934237
15.700,347.974,0.923328
15.800,348.869,0.918453
15.900,349.025,0.948669
16.000,320.222,0.892783
16.100,301.536,0.950074
16.200,310.465,0.823443
16.300,283.742,0.972973
16.400,333.241,0.928973
16.500,303.098,0.944436
16.600,304.524,0.984637
16.700,311.105,0.964444
16.800,307.500,0.967611
16.900,303.729,0.968800
17.000,314.433,0.950208
17.100,301.936,0.976917
17.200,311.201,0.966010
17.300,307.268,0.955989
17.400,311.124,0.945895
17.500,313.410,0.943572
17.600,303.096,0.942355
17.700,315.804,0.950737
17.800,309.672,0.964334
17.900,293.750,0.906295
18.000,292.141,0.610061
18.100,363.019,0.936085
18.200,351.421,0.961433
18.300,351.220,0.953733
18.400,351.727,0.951161
18.500,352.365,0.937661
18.600,349.098,0.944243
18.700,351.043,0.929489
18.800,328.261,0.932812
18.900,304.561,0.969169
19.000,304.473,0.958576
19.100,154.471,0.902776
19.200,305.163,0.322644
19.300,306.787,0.795274
19.400,697.633,0.687584
19.500,311.588,0.171362
19.600,95.062,0.135314
19.700,305.022,0.739899
19.800,314.219,0.512257
19.900,45.470,0.045143
20.000,325.302,0.057926
20.100,312.744,0.195050
20.200,271.726,0.949717
20.300,289.929,0.919673
20.400,320.539,0.931647
20.500,339.109,0.964029
20.600,343.444,0.964015
20.700,324.510,0.812954
20.800,302.354,0.976970
20.900,302.151,0.977530
21.000,305.866,0.981588
21.100,300.647,0.964540
21.200,302.924,0.971169
21.300,300.605,0.967081
21.400,306.427,0.974347
21.500,297.187,0.951000
21.600,425.569,0.788727
21.700,340.962,0.951773
21.800,402.062,0.930791
21.900,341.969,0.966836
22.000,350.525,0.527118
22.100,301.446,0.959818
22.200,325.195,0.928280
22.300,298.875,0.957914
22.400,361.235,0.627514
22.500,300.096,0.941538
22.600,314.823,0.959430
22.700,297.942,0.952136
22.800,319.549,0.885074
22.900,282.822,0.927531
23.000,282.835,0.935551
23.100,316.158,0.644198
23.200,292.118,0.847762
23.300,285.856,0.961827
23.400,284.775,0.917282
23.500,314.725,0.926323
23.600,300.795,0.960360
23.700,311.698,0.964576
23.800,291.817,0.958865
23.900,313.355,0.963927
24.000,310.381,0.951198
24.100,282.408,0.946072
24.200,340.795,0.948750
24.300,341.127,0.953752
24.400,346.164,0.962713
24.500,344.559,0.912501
24.600,346.655,0.938767
24.700,343.496,0.946548
24.800,348.306,0.858570
24.900,305.313,0.968542
25.000,326.277,0.931025
25.100,280.361,0.915159
25.200,291.648,0.935202
25.300,316.275,0.927318
25.400,299.571,0.956223
25.500,310.510,0.944926
25.600,303.359,0.956340
25.700,312.300,0.969930
25.800,301.664,0.971139
25.900,313.420,0.956939
26.000,303.761,0.963379
26.100,312.667,0.968305
26.200,303.451,0.954096
26.300,308.179,0.971324
26.400,300.449,0.958530
26.500,313.348,0.958689
26.600,297.384,0.966910
26.700,313.411,0.947411
26.800,302.102,0.966007
26.900,320.955,0.691283
27.000,280.376,0.810660
27.100,324.333,0.886518
27.200,323.929,0.818018
27.300,349.289,0.956863
27.400,347.429,0.767329
