time,frequency,confidence
0.000,549.563,0.223456
0.100,34.862,0.743513
0.200,34.745,0.060011
0.300,52.711,0.049510
0.400,45.585,0.031591
0.500,1484.559,0.075087
0.600,32.530,0.125778
0.700,38.651,0.052579
0.800,179.442,0.523985
0.900,121.173,0.067261
1.000,125.827,0.074758
1.100,163.140,0.809592
1.200,236.199,0.904022
1.300,258.002,0.958313
1.400,264.355,0.947561
1.500,261.407,0.959779
1.600,266.766,0.968058
1.700,255.402,0.959636
1.800,261.678,0.965912
1.900,260.057,0.960319
2.000,261.130,0.945929
2.100,259.317,0.959099
2.200,269.121,0.976177
2.300,303.263,0.941152
2.400,326.596,0.974582
2.500,341.457,0.950799
2.600,344.724,0.947813
2.700,345.213,0.897789
2.800,347.253,0.905627
2.900,347.916,0.841046
3.000,348.055,0.903789
3.100,349.573,0.957816
3.200,323.980,0.961219
3.300,373.514,0.693421
3.400,333.968,0.954489
3.500,343.872,0.944988
3.600,346.813,0.959713
3.700,348.772,0.954981
3.800,347.375,0.963749
3.900,350.923,0.973475
4.000,346.701,0.966714
4.100,347.500,0.961703
4.200,349.181,0.968621
4.300,353.133,0.972231
4.400,348.503,0.938484
4.500,352.802,0.926902
4.600,350.527,0.936084
4.700,350.820,0.930058
4.800,350.261,0.910473
4.900,345.491,0.928633
5.000,351.760,0.962071
5.100,345.641,0.963974
5.200,348.920,0.965916
5.300,345.057,0.958039
5.400,350.315,0.955241
5.500,349.988,0.927839
5.600,346.008,0.942417
5.700,321.614,0.797773
5.800,285.486,0.567406
5.900,113.796,0.821431
6.000,217.696,0.365403
6.100,262.912,0.961713
6.200,307.821,0.947516
6.300,340.621,0.939407
6.400,350.581,0.979238
6.500,347.393,0.952019
6.600,348.300,0.876338
6.700,326.335,0.842850
6.800,336.547,0.889497
6.900,282.210,0.912431
7.000,312.633,0.793627
7.100,256.588,0.952839
7.200,309.223,0.524976
7.300,282.242,0.893497
7.400,336.882,0.920297
7.500,317.682,0.939527
7.600,331.371,0.966864
7.700,334.643,0.969240
7.800,323.655,0.964629
7.900,338.608,0.948371
8.000,330.561,0.972333
8.100,322.150,0.948956
8.200,335.236,0.968415
8.300,325.552,0.950868
8.400,334.239,0.950869
8.500,329.811,0.950066
8.600,326.657,0.957969
8.700,325.170,0.794370
8.800,276.520,0.923685
8.900,306.135,0.953464
9.000,256.885,0.954182
9.100,264.970,0.646752
9.200,236.265,0.865602
9.300,288.812,0.818068
9.400,258.385,0.956145
9.500,258.626,0.958190
9.600,258.773,0.961427
9.700,260.937,0.939101
9.800,256.903,0.976291
9.900,257.810,0.961658
10.000,255.672,0.966779
10.100,257.329,0.975268
