time,frequency,confidence
0.000,543.989,0.078952
0.100,392.958,0.627017
0.200,392.664,0.845999
0.300,392.552,0.327768
0.400,34.433,0.462554
0.500,338.980,0.895697
0.600,355.520,0.975242
0.700,342.541,0.966566
0.800,348.203,0.955307
0.900,346.401,0.975740
1.000,348.997,0.973320
1.100,347.550,0.964907
1.200,354.873,0.973631
1.300,353.134,0.965816
1.400,429.981,0.879930
1.500,392.390,0.947577
1.600,383.015,0.936554
1.700,451.591,0.896449
1.800,391.920,0.930251
1.900,399.297,0.927962
2.000,390.423,0.914719
2.100,395.503,0.823913
2.200,393.250,0.859597
2.300,390.059,0.851280
2.400,393.367,0.891446
2.500,397.226,0.910430
2.600,388.053,0.884515
2.700,395.674,0.920308
2.800,390.222,0.898483
2.900,395.131,0.929148
3.000,390.441,0.896642
3.100,391.862,0.933970
3.200,397.985,0.950424
3.300,391.438,0.899557
3.400,394.339,0.932003
3.500,392.129,0.929680
3.600,392.372,0.944304
3.700,394.062,0.961054
3.800,406.894,0.848386
3.900,413.202,0.881604
4.000,430.815,0.930416
4.100,393.186,0.956149
4.200,394.811,0.922878
4.300,389.891,0.941504
4.400,393.257,0.938830
4.500,384.733,0.945331
4.600,389.250,0.927046
4.700,390.256,0.920382
4.800,390.629,0.894323
4.900,389.286,0.885701
5.000,388.558,0.910895
5.100,391.461,0.875902
5.200,402.229,0.901596
5.300,418.511,0.897179
5.400,392.650,0.933172
5.500,399.394,0.946353
5.600,389.526,0.929030
5.700,400.388,0.917109
5.800,406.987,0.893707
5.900,392.663,0.954042
6.000,394.863,0.911373
6.100,399.462,0.933699
6.200,407.406,0.905619
6.300,402.395,0.905552
6.400,420.358,0.837867
6.500,815.277,0.690666
6.600,422.954,0.754401
6.700,462.470,0.909278
6.800,324.401,0.641697
6.900,407.758,0.925952
7.000,414.004,0.772129
7.100,390.893,0.928228
7.200,363.689,0.939710
7.300,347.817,0.947958
7.400,345.722,0.783590
7.500,333.802,0.933602
7.600,316.904,0.920393
7.700,309.118,0.959724
7.800,304.064,0.914988
7.900,315.754,0.837520
8.000,284.986,0.969191
8.100,283.443,0.962097
8.200,277.234,0.961884
8.300,331.208,0.955196
8.400,268.331,0.962454
8.500,261.092,0.945470
8.600,262.450,0.968670
8.700,255.518,0.957587
8.800,263.988,0.937567
8.900,259.959,0.962784
9.000,266.666,0.963895
9.100,256.715,0.974073
9.200,263.576,0.947994
9.300,259.327,0.964244
9.400,259.993,0.964491
9.500,261.642,0.953755
9.600,276.415,0.571816
9.700,231.236,0.761262
9.800,266.963,0.529343
9.900,238.266,0.537713
10.000,282.899,0.180877
10.100,281.860,0.406074
10.200,33.036,0.265736
10.300,290.703,0.133285
10.400,33.324,0.321509
10.500,210.094,0.773964
10.600,248.008,0.938586
10.700,262.671,0.975335
10.800,259.074,0.966788
10.900,267.952,0.966841
11.000,259.910,0.963007
11.100,260.211,0.959497
11.200,259.113,0.966702
11.300,259.741,0.954541
11.400,282.591,0.931792
11.500,273.368,0.944755
11.600,302.249,0.538222
11.700,285.752,0.921267
11.800,297.849,0.943358
11.900,251.948,0.916943
12.000,279.302,0.939109
12.100,292.464,0.679597
12.200,306.459,0.957738
12.300,351.684,0.884696
12.400,305.481,0.974632
12.500,332.002,0.922725
12.600,281.357,0.940283
12.700,316.651,0.916387
12.800,305.349,0.975340
12.900,356.749,0.943319
13.000,346.525,0.971772
13.100,354.653,0.977517
13.200,346.295,0.792020
13.300,306.565,0.964926
13.400,371.937,0.904112
13.500,353.643,0.947777
13.600,398.295,0.918344
13.700,431.625,0.927053
13.800,390.497,0.925610
13.900,395.262,0.726146
14.000,356.858,0.930770
14.100,388.210,0.921162
14.200,387.234,0.933639
14.300,392.725,0.899263
14.400,347.662,0.957590
14.500,357.674,0.960866
14.600,391.091,0.922929
14.700,393.267,0.943659
14.800,351.220,0.962341
14.900,351.283,0.974196
15.000,349.600,0.972282
15.100,405.763,0.910845
15.200,389.193,0.949818
15.300,387.632,0.932019
15.400,400.559,0.868739
15.500,818.267,0.767654
15.600,412.469,0.889128
15.700,348.509,0.963566
15.800,348.976,0.972314
15.900,422.187,0.847928
16.000,392.366,0.951031
16.100,390.781,0.921604
16.200,391.103,0.908042
16.300,394.080,0.952900
16.400,391.070,0.920084
16.500,389.286,0.953867
16.600,399.466,0.953492
16.700,391.164,0.905504
16.800,392.014,0.937117
16.900,401.382,0.923235
17.000,391.868,0.918151
17.100,392.917,0.960341
17.200,396.845,0.952295
17.300,406.261,0.824243
17.400,397.604,0.964900
17.500,392.747,0.960050
17.600,397.539,0.943877
17.700,390.214,0.929863
17.800,393.900,0.885521
17.900,388.874,0.934724
18.000,398.891,0.928441
18.100,385.993,0.939697
18.200,407.600,0.921540
18.300,412.557,0.816683
18.400,394.908,0.896909
18.500,412.840,0.212164
18.600,399.504,0.917878
18.700,467.731,0.709674
18.800,415.809,0.860771
18.900,389.744,0.917124
19.000,402.595,0.839465
19.100,393.090,0.853065
19.200,391.867,0.794007
19.300,395.987,0.817998
19.400,394.060,0.878229
19.500,399.408,0.909650
19.600,415.837,0.882491
19.700,391.516,0.881600
19.800,395.495,0.887909
19.900,392.013,0.857267
20.000,391.915,0.884375
20.100,393.658,0.952659
20.200,408.607,0.848420
20.300,388.488,0.937777
20.400,399.596,0.851070
20.500,383.938,0.949728
20.600,408.936,0.715534
20.700,387.930,0.912412
20.800,406.911,0.804090
20.900,405.997,0.758948
21.000,392.998,0.906848
21.100,409.210,0.840436
21.200,421.363,0.831047
21.300,352.175,0.955356
21.400,411.359,0.623377
21.500,403.433,0.589844
21.600,378.508,0.907442
21.700,349.305,0.969923
21.800,348.674,0.946724
21.900,404.904,0.893235
22.000,347.977,0.936278
22.100,348.569,0.957137
22.200,427.267,0.909621
22.300,391.275,0.888927
22.400,390.703,0.843399
22.500,393.922,0.899878
22.600,814.393,0.693133
22.700,399.828,0.861746
22.800,353.948,0.978351
22.900,427.591,0.793056
23.000,395.329,0.891323
23.100,385.297,0.952091
23.200,393.027,0.922556
23.300,398.958,0.827627
23.400,410.017,0.727194
23.500,402.577,0.913697
23.600,391.568,0.882835
23.700,392.738,0.734907
23.800,388.204,0.901775
23.900,819.736,0.110663
24.000,787.186,0.774438
24.100,781.197,0.786874
24.200,391.024,0.911508
24.300,392.794,0.816386
24.400,392.029,0.425287
24.500,392.460,0.733142
24.600,34.412,0.117311
24.700,383.675,0.092171
24.800,34.019,0.150447
24.900,34.601,0.384692
25.000,151.005,0.097516
25.100,340.634,0.806498
25.200,392.111,0.949764
25.300,386.009,0.945096
25.400,393.605,0.935828
25.500,406.234,0.837289
25.600,412.430,0.886181
25.700,394.404,0.869142
25.800,390.325,0.937281
25.900,395.061,0.661067
26.000,387.612,0.889206
26.100,782.096,0.753472
26.200,390.405,0.781690
26.300,394.306,0.891534
26.400,403.758,0.835648
26.500,421.020,0.905625
26.600,391.169,0.845121
26.700,399.002,0.865615
26.800,390.365,0.861778
26.900,392.762,0.919275
27.000,406.589,0.821681
27.100,400.203,0.890660
27.200,396.343,0.914616
27.300,394.252,0.898003
27.400,385.790,0.939020
27.500,393.585,0.915137
27.600,387.256,0.903012
27.700,399.533,0.876974
27.800,402.331,0.918031
27.900,402.032,0.960126
28.000,404.970,0.887456
28.100,353.298,0.950131
28.200,393.500,0.893218
