time,frequency,confidence
0.000,77.180,0.037748
0.100,34.477,0.058443
0.200,161.421,0.150550
0.300,340.488,0.087531
0.400,34.479,0.636652
0.500,33.584,0.191869
0.600,348.578,0.208720
0.700,1511.572,0.098381
0.800,149.778,0.279413
0.900,300.126,0.141370
1.000,94.598,0.014029
1.100,169.374,0.213736
1.200,350.567,0.236063
1.300,310.044,0.058786
1.400,317.728,0.294363
1.500,349.393,0.972331
1.600,353.765,0.973331
1.700,381.996,0.931711
1.800,415.566,0.942783
1.900,433.217,0.902248
2.000,441.285,0.921150
2.100,896.417,0.790984
2.200,921.753,0.827579
2.300,918.308,0.629988
2.400,921.791,0.776547
2.500,455.414,0.823543
2.600,467.929,0.943909
2.700,451.553,0.796025
2.800,464.632,0.650717
2.900,920.054,0.820468
3.000,918.395,0.866032
3.100,480.721,0.861924
3.200,468.568,0.935476
3.300,464.162,0.801737
3.400,465.521,0.815367
3.500,931.458,0.907096
3.600,929.785,0.806899
3.700,933.415,0.912651
3.800,467.014,0.849593
3.900,462.294,0.813930
4.000,437.214,0.951119
4.100,490.525,0.620341
4.200,449.685,0.857367
4.300,470.140,0.940966
4.400,915.935,0.832754
4.500,459.215,0.812560
4.600,471.016,0.922231
4.700,926.990,0.832937
4.800,468.002,0.949909
4.900,912.146,0.807996
5.000,471.174,0.918250
5.100,462.785,0.687803
5.200,932.795,0.895387
5.300,925.809,0.715627
5.400,926.795,0.908226
5.500,927.372,0.871245
5.600,909.744,0.741688
5.700,928.436,0.860417
5.800,927.759,0.889582
5.900,927.570,0.695574
6.000,464.492,0.840235
6.100,457.798,0.816407
6.200,539.317,0.899363
6.300,467.850,0.875964
6.400,461.338,0.924711
6.500,469.919,0.950934
6.600,463.678,0.919264
6.700,463.668,0.921313
6.800,465.977,0.931295
6.900,929.533,0.873337
7.000,924.956,0.659764
7.100,928.711,0.830845
7.200,928.519,0.917683
7.300,929.748,0.838465
7.400,533.487,0.647738
7.500,464.176,0.875445
7.600,501.106,0.707421
7.700,421.839,0.870970
7.800,389.802,0.927742
7.900,395.214,0.932861
8.000,431.211,0.918266
8.100,436.512,0.798688
8.200,450.975,0.862997
8.300,385.057,0.917237
8.400,410.179,0.925611
8.500,389.252,0.927064
8.600,402.138,0.891056
8.700,390.340,0.874860
8.800,394.792,0.910124
8.900,389.077,0.897276
9.000,394.352,0.931507
9.100,392.789,0.884991
9.200,390.157,0.921812
9.300,820.735,0.754208
9.400,389.670,0.854728
9.500,398.572,0.911355
9.600,382.323,0.898211
9.700,398.366,0.886295
9.800,384.958,0.932676
9.900,398.859,0.684673
10.000,389.850,0.848779
10.100,783.107,0.422900
10.200,786.661,0.768039
10.300,780.312,0.907435
10.400,391.792,0.855907
10.500,392.820,0.809448
10.600,390.572,0.689336
10.700,388.014,0.224647
10.800,1493.345,0.146167
10.900,263.306,0.182094
11.000,377.953,0.943326
11.100,391.449,0.735338
11.200,394.952,0.830813
11.300,392.028,0.722457
11.400,391.984,0.857241
11.500,391.777,0.909801
11.600,409.110,0.829432
11.700,434.815,0.898160
11.800,443.912,0.812746
11.900,445.726,0.745117
12.000,894.104,0.780354
12.100,516.543,0.526687
12.200,427.658,0.893858
12.300,506.450,0.846459
12.400,433.871,0.877169
12.500,501.672,0.768885
12.600,427.829,0.928953
12.700,465.536,0.480618
12.800,393.612,0.952322
12.900,414.756,0.587896
13.000,520.357,0.745738
13.100,385.474,0.938022
13.200,394.436,0.937250
13.300,477.819,0.932664
13.400,432.793,0.948002
13.500,433.694,0.871967
13.600,890.571,0.757799
13.700,447.982,0.707759
13.800,450.986,0.635334
13.900,447.599,0.866894
14.000,442.700,0.930989
14.100,436.990,0.912302
14.200,437.365,0.726829
14.300,435.813,0.894947
14.400,436.666,0.909496
14.500,437.450,0.869922
14.600,888.233,0.827903
14.700,447.789,0.912215
14.800,307.053,0.709196
14.900,441.123,0.784562
15.000,427.120,0.948462
15.100,494.769,0.949588
15.200,397.568,0.925072
15.300,385.373,0.889391
15.400,385.955,0.893349
15.500,384.522,0.912622
15.600,868.670,0.331531
15.700,375.434,0.885339
15.800,351.860,0.961246
15.900,348.090,0.943882
16.000,350.389,0.966849
16.100,347.344,0.959488
16.200,345.220,0.950183
16.300,365.332,0.802097
16.400,309.716,0.963170
16.500,314.545,0.954301
16.600,309.576,0.967802
16.700,309.631,0.970780
16.800,309.957,0.959332
16.900,311.531,0.968289
17.000,347.786,0.725191
17.100,312.068,0.846003
17.200,295.760,0.968113
17.300,288.277,0.963247
17.400,303.775,0.970499
17.500,312.814,0.963750
17.600,301.292,0.944801
17.700,290.155,0.879963
17.800,298.833,0.966449
17.900,290.035,0.940335
18.000,298.643,0.975089
18.100,285.505,0.961693
18.200,298.680,0.972372
18.300,294.130,0.974459
18.400,295.032,0.974763
18.500,300.428,0.957792
18.600,305.549,0.981989
18.700,289.186,0.908866
18.800,302.318,0.970826
18.900,288.214,0.931585
19.000,301.373,0.968493
19.100,286.818,0.958833
19.200,301.325,0.971537
19.300,283.956,0.958309
19.400,297.103,0.961325
19.500,289.558,0.913765
19.600,302.683,0.954150
19.700,290.468,0.949290
19.800,248.418,0.586142
19.900,279.761,0.645174
20.000,292.500,0.784816
20.100,291.596,0.631176
20.200,1817.341,0.114808
20.300,284.175,0.207839
20.400,284.776,0.700828
20.500,203.399,0.809955
20.600,230.348,0.913162
20.700,246.442,0.930741
20.800,276.833,0.950040
20.900,290.281,0.949278
21.000,288.509,0.963409
21.100,296.664,0.924391
21.200,288.857,0.914709
21.300,293.132,0.887061
21.400,294.019,0.954042
21.500,293.432,0.941950
21.600,295.966,0.965326
21.700,291.539,0.949923
21.800,315.428,0.963011
21.900,305.977,0.867553
22.000,327.198,0.839255
22.100,318.566,0.927077
22.200,297.030,0.939561
22.300,334.371,0.589706
22.400,309.972,0.961471
22.500,345.543,0.902029
22.600,344.050,0.919775
22.700,344.260,0.861332
22.800,350.502,0.883726
22.900,311.607,0.962057
23.000,353.960,0.939363
23.100,345.903,0.957042
23.200,392.626,0.928108
23.300,381.125,0.935333
23.400,404.343,0.725937
23.500,383.648,0.903724
23.600,352.752,0.946084
23.700,402.040,0.769797
23.800,383.146,0.937400
23.900,466.094,0.915729
24.000,427.636,0.905847
24.100,423.829,0.839389
24.200,471.550,0.810621
24.300,462.726,0.911789
24.400,430.809,0.932296
24.500,511.667,0.837904
24.600,418.402,0.816014
24.700,390.515,0.911425
24.800,407.485,0.764554
24.900,459.886,0.864270
25.000,434.285,0.929200
25.100,458.802,0.874492
25.200,443.647,0.907149
25.300,431.934,0.940665
25.400,467.237,0.897106
25.500,465.142,0.805439
25.600,465.255,0.844601
25.700,912.115,0.622523
25.800,531.122,0.843526
25.900,446.158,0.686784
26.000,411.730,0.756115
26.100,414.803,0.692894
26.200,431.736,0.949222
26.300,512.641,0.938575
26.400,455.893,0.829942
26.500,495.185,0.878052
26.600,527.068,0.868152
26.700,461.450,0.907382
26.800,438.819,0.877742
26.900,448.357,0.735108
27.000,914.574,0.870429
27.100,460.700,0.773978
27.200,454.659,0.857923
27.300,438.645,0.787343
27.400,458.544,0.875257
27.500,435.519,0.913319
27.600,415.040,0.801412
27.700,458.203,0.833975
27.800,459.894,0.785393
27.900,460.436,0.764544
28.000,460.992,0.828286
28.100,459.710,0.806136
28.200,465.792,0.620930
28.300,459.009,0.636414
28.400,911.756,0.776985
28.500,923.560,0.872585
28.600,454.675,0.818274
28.700,467.403,0.935993
28.800,457.462,0.786583
28.900,465.667,0.851596
29.000,457.199,0.765501
29.100,456.796,0.884633
29.200,464.414,0.804478
29.300,457.573,0.755441
29.400,463.034,0.880076
