time,frequency,confidence
0.000,353.438,0.138935
0.100,193.764,0.045714
0.200,32.355,0.045533
0.300,172.635,0.589582
0.400,155.798,0.020200
0.500,1234.150,0.014351
0.600,126.265,0.059323
0.700,56.122,0.481747
0.800,1782.942,0.204043
0.900,212.325,0.494769
1.000,271.571,0.969554
1.100,283.883,0.978699
1.200,284.364,0.970615
1.300,329.700,0.961432
1.400,342.329,0.857917
1.500,353.205,0.963575
1.600,352.928,0.962258
1.700,352.327,0.960260
1.800,351.027,0.978362
1.900,349.480,0.973932
2.000,353.567,0.963170
2.100,349.673,0.951870
2.200,350.760,0.948018
2.300,353.172,0.953881
2.400,347.688,0.956639
2.500,355.584,0.966052
2.600,349.029,0.958844
2.700,354.143,0.970092
2.800,347.462,0.960047
2.900,347.413,0.961947
3.000,346.378,0.975444
3.100,342.683,0.968137
3.200,346.545,0.982935
3.300,357.354,0.969635
3.400,347.709,0.957891
3.500,344.748,0.965986
3.600,354.503,0.974857
3.700,348.474,0.942468
3.800,349.561,0.944816
3.900,351.787,0.923834
4.000,350.974,0.927818
4.100,351.374,0.939289
4.200,368.997,0.826930
4.300,747.253,0.687488
4.400,363.386,0.850656
4.500,349.281,0.969836
4.600,363.565,0.962833
4.700,354.126,0.963709
4.800,355.488,0.962393
4.900,344.760,0.938079
5.000,362.102,0.946281
5.100,351.380,0.953038
5.200,356.827,0.939115
5.300,350.491,0.972680
5.400,352.696,0.955554
5.500,351.929,0.953804
5.600,370.114,0.632875
5.700,374.186,0.765326
5.800,349.653,0.944380
5.900,354.910,0.968531
6.000,351.697,0.960041
6.100,366.290,0.903542
6.200,375.923,0.922684
6.300,371.841,0.939325
6.400,353.663,0.934202
6.500,336.645,0.910788
6.600,386.338,0.760286
6.700,304.523,0.977143
6.800,306.097,0.977117
6.900,297.285,0.926108
7.000,309.322,0.961892
7.100,306.448,0.966474
7.200,303.756,0.961523
7.300,310.682,0.903030
7.400,285.459,0.960303
7.500,286.080,0.955727
7.600,282.297,0.948622
7.700,290.154,0.946224
7.800,311.291,0.969348
7.900,269.888,0.968214
8.000,272.630,0.969717
8.100,286.498,0.955005
8.200,284.035,0.973500
8.300,282.835,0.934938
8.400,281.678,0.945590
8.500,281.964,0.931959
8.600,282.659,0.933416
8.700,283.778,0.973787
8.800,285.477,0.972305
8.900,281.900,0.959460
9.000,283.240,0.953134
