time,frequency,confidence
0.000,553.931,0.077256
0.100,636.526,0.091899
0.200,623.589,0.061347
0.300,140.103,0.068696
0.400,345.521,0.146030
0.500,152.812,0.216788
0.600,430.636,0.128810
0.700,147.590,0.093034
0.800,349.155,0.115062
0.900,36.182,0.070452
1.000,32.114,0.021050
1.100,51.273,0.168339
1.200,160.268,0.203526
1.300,31.977,0.062027
1.400,316.978,0.237351
1.500,159.766,0.199008
1.600,159.326,0.463350
1.700,33.460,0.107377
1.800,156.506,0.784307
1.900,156.512,0.817516
2.000,204.128,0.846334
2.100,249.043,0.868954
2.200,267.627,0.964588
2.300,258.029,0.957103
2.400,263.996,0.936857
2.500,259.134,0.971224
2.600,262.747,0.971973
2.700,262.045,0.974074
2.800,258.518,0.951997
2.900,262.990,0.971364
3.000,265.002,0.974181
3.100,262.193,0.974501
3.200,259.822,0.965490
3.300,261.858,0.970030
3.400,260.879,0.943573
3.500,257.112,0.969296
3.600,259.138,0.964746
3.700,263.911,0.946218
3.800,260.610,0.953746
3.900,260.248,0.963527
4.000,264.019,0.942182
4.100,261.358,0.959437
4.200,260.553,0.955490
4.300,259.795,0.969989
4.400,269.031,0.976122
4.500,259.332,0.973457
4.600,264.424,0.958290
4.700,268.818,0.976880
4.800,261.420,0.950296
4.900,230.836,0.838439
5.000,266.786,0.806574
5.100,274.293,0.963310
5.200,261.277,0.953368
5.300,265.319,0.975508
5.400,262.690,0.969955
5.500,262.887,0.967378
5.600,263.320,0.962551
5.700,259.538,0.972812
5.800,262.755,0.972023
5.900,259.853,0.970190
6.000,260.678,0.951317
6.100,263.983,0.935425
6.200,262.170,0.968016
6.300,261.101,0.946314
6.400,258.468,0.954174
6.500,265.583,0.979609
6.600,261.467,0.963441
6.700,261.136,0.953045
6.800,263.981,0.931623
6.900,250.142,0.867566
7.000,245.638,0.850713
7.100,274.046,0.954633
7.200,261.393,0.953851
7.300,266.309,0.970598
7.400,264.134,0.935836
7.500,260.030,0.968417
7.600,268.703,0.976855
7.700,260.644,0.952978
7.800,273.718,0.955601
7.900,263.436,0.950483
8.000,262.619,0.962873
8.100,271.316,0.970360
8.200,263.580,0.946778
8.300,259.205,0.970117
8.400,269.973,0.965157
8.500,258.091,0.956325
8.600,271.083,0.968094
8.700,257.555,0.971183
8.800,265.766,0.975415
8.900,259.641,0.963039
9.000,245.833,0.715809
9.100,223.908,0.956521
9.200,227.342,0.938422
9.300,263.568,0.795613
9.400,202.619,0.901419
9.500,218.277,0.872285
9.600,196.391,0.955350
9.700,197.025,0.966908
9.800,200.623,0.903203
9.900,199.421,0.945966
10.000,189.378,0.940240
10.100,204.910,0.944586
10.200,194.984,0.958887
10.300,195.735,0.943023
10.400,201.572,0.949550
10.500,195.359,0.956482
10.600,195.541,0.939548
10.700,205.520,0.969852
10.800,204.338,0.961611
10.900,192.850,0.937979
11.000,204.485,0.959634
11.100,191.733,0.924981
11.200,199.033,0.931684
11.300,212.828,0.913005
11.400,199.039,0.758190
11.500,203.114,0.695080
11.600,196.700,0.813116
11.700,194.470,0.754655
11.800,204.334,0.333025
11.900,183.551,0.380871
12.000,160.072,0.122365
12.100,1678.363,0.221183
12.200,1708.474,0.168367
12.300,1706.938,0.091089
12.400,32.660,0.079977
12.500,32.332,0.073257
12.600,182.273,0.141785
12.700,205.396,0.967568
12.800,198.672,0.950904
12.900,198.032,0.939565
13.000,213.186,0.969619
13.100,214.916,0.954088
13.200,239.348,0.944260
13.300,240.175,0.700648
13.400,276.005,0.934384
13.500,275.255,0.952450
13.600,226.212,0.957355
13.700,268.875,0.968354
13.800,225.973,0.960042
13.900,240.373,0.353795
14.000,215.945,0.893871
14.100,228.059,0.942104
14.200,256.628,0.948392
14.300,216.440,0.941991
14.400,245.390,0.819008
14.500,225.088,0.957887
14.600,235.719,0.924747
14.700,278.754,0.897582
14.800,243.880,0.786591
14.900,233.462,0.964124
15.000,225.434,0.967565
15.100,229.462,0.925978
15.200,233.285,0.958373
15.300,228.995,0.948924
15.400,229.835,0.900484
15.500,230.188,0.919144
15.600,231.019,0.938415
15.700,234.943,0.951312
15.800,235.061,0.943141
15.900,232.894,0.942999
16.000,231.111,0.940628
16.100,233.411,0.957772
16.200,229.315,0.933630
16.300,232.193,0.919369
16.400,229.251,0.939109
16.500,229.274,0.943843
16.600,231.381,0.939300
16.700,230.323,0.917279
16.800,233.521,0.952929
16.900,233.978,0.945660
17.000,232.573,0.924074
17.100,231.799,0.929568
17.200,230.614,0.933265
17.300,224.622,0.862588
17.400,197.609,0.911319
17.500,206.475,0.961637
17.600,206.013,0.970162
17.700,193.100,0.921750
17.800,196.391,0.962962
17.900,194.304,0.964451
18.000,206.591,0.921558
18.100,218.163,0.944544
18.200,186.897,0.901905
18.300,171.719,0.927402
18.400,171.311,0.937836
18.500,172.811,0.953724
18.600,171.183,0.938301
18.700,174.308,0.945548
18.800,176.009,0.937346
18.900,176.097,0.928925
19.000,172.340,0.948890
19.100,172.135,0.942476
19.200,173.073,0.962646
19.300,170.950,0.941977
19.400,172.688,0.955939
19.500,171.245,0.941505
19.600,173.141,0.962411
19.700,172.020,0.919202
19.800,173.946,0.944720
19.900,171.730,0.927691
20.000,172.651,0.942286
20.100,172.892,0.945452
20.200,172.243,0.918176
20.300,173.810,0.938925
20.400,171.902,0.909312
20.500,173.686,0.761888
20.600,168.030,0.555862
20.700,170.492,0.579644
20.800,169.586,0.709248
20.900,175.772,0.656661
21.000,343.501,0.073220
21.100,341.354,0.174515
21.200,158.276,0.147274
21.300,163.003,0.478841
21.400,1772.814,0.064818
21.500,38.971,0.114805
21.600,156.189,0.155119
21.700,79.322,0.646045
21.800,191.630,0.513966
21.900,173.865,0.937586
22.000,175.114,0.952317
22.100,160.545,0.933615
22.200,193.114,0.909178
22.300,191.995,0.940995
22.400,191.924,0.924630
22.500,243.359,0.690425
22.600,200.226,0.707113
22.700,193.997,0.948524
22.800,188.794,0.924139
22.900,196.200,0.947571
23.000,195.217,0.956835
23.100,192.056,0.940556
23.200,196.134,0.943080
23.300,195.007,0.955874
23.400,197.640,0.931933
23.500,194.614,0.962361
23.600,194.450,0.947039
23.700,195.631,0.942320
23.800,200.542,0.919221
23.900,196.038,0.950078
24.000,195.489,0.953679
24.100,208.808,0.963661
24.200,209.472,0.932150
24.300,233.377,0.601015
24.400,212.349,0.928336
24.500,232.220,0.641216
24.600,241.551,0.537449
24.700,231.108,0.932041
24.800,283.322,0.863890
24.900,258.121,0.949626
25.000,276.875,0.930171
25.100,272.673,0.908907
25.200,229.658,0.914258
25.300,230.082,0.897214
25.400,239.319,0.967574
25.500,249.682,0.945841
25.600,260.833,0.944485
25.700,217.822,0.957927
25.800,232.193,0.915391
25.900,230.136,0.914016
26.000,204.997,0.939322
26.100,264.053,0.928625
26.200,255.169,0.943059
26.300,261.005,0.941583
26.400,258.497,0.954778
26.500,264.022,0.931405
26.600,257.601,0.964979
26.700,264.032,0.928661
26.800,229.076,0.734745
26.900,288.726,0.525039
27.000,253.681,0.974203
27.100,255.901,0.973103
27.200,257.866,0.961319
27.300,257.296,0.975901
27.400,258.819,0.965024
27.500,262.236,0.972356
27.600,263.652,0.956378
27.700,259.827,0.970431
27.800,259.166,0.967855
27.900,257.969,0.960878
28.000,266.961,0.952824
28.100,255.100,0.948418
28.200,257.625,0.967201
28.300,260.201,0.963658
28.400,257.349,0.972015
28.500,259.086,0.966514
28.600,260.161,0.963110
28.700,259.865,0.961063
28.800,260.482,0.957336
28.900,258.791,0.965375
29.000,255.188,0.782072
29.100,258.114,0.881338
29.200,256.725,0.593445
29.300,258.501,0.897684
29.400,256.971,0.793886
29.500,33.127,0.238629
29.600,1822.209,0.159587
29.700,1735.791,0.742052
29.800,1685.104,0.206636
29.900,331.554,0.082497
30.000,250.829,0.016040
30.100,208.044,0.943729
30.200,227.383,0.929827
30.300,242.304,0.967101
30.400,274.851,0.959499
30.500,300.985,0.965652
30.600,281.910,0.944631
30.700,287.838,0.961625
30.800,294.126,0.974768
30.900,328.559,0.866855
31.000,284.152,0.950297
31.100,307.081,0.921204
31.200,308.410,0.963427
31.300,283.397,0.917242
31.400,293.540,0.644007
31.500,296.168,0.962166
31.600,319.692,0.586053
31.700,295.543,0.837705
31.800,275.566,0.963044
31.900,286.224,0.931902
32.000,293.139,0.944373
32.100,313.923,0.953714
32.200,273.328,0.952255
32.300,278.563,0.960860
32.400,298.958,0.907962
32.500,331.980,0.966458
32.600,336.657,0.932906
32.700,336.805,0.929840
32.800,343.346,0.962674
32.900,300.944,0.826498
33.000,286.289,0.919588
33.100,299.260,0.962865
33.200,298.974,0.963023
33.300,306.838,0.959814
33.400,302.548,0.974102
33.500,301.214,0.973926
33.600,303.155,0.953912
33.700,302.416,0.971728
33.800,302.236,0.974214
33.900,304.815,0.982347
34.000,303.152,0.964683
34.100,298.859,0.975436
34.200,302.988,0.965072
34.300,304.006,0.978278
34.400,299.865,0.957543
34.500,303.534,0.967712
34.600,305.081,0.985122
34.700,303.741,0.974765
34.800,301.233,0.968846
34.900,307.494,0.971418
35.000,306.019,0.975749
35.100,314.442,0.864828
35.200,286.190,0.905586
35.300,311.252,0.828994
35.400,278.534,0.967024
35.500,283.309,0.919170
35.600,304.505,0.778210
35.700,255.975,0.970239
35.800,262.324,0.968147
35.900,265.040,0.964927
36.000,294.676,0.951605
36.100,259.295,0.964811
36.200,254.839,0.955146
36.300,286.796,0.528399
36.400,283.670,0.971371
36.500,276.282,0.944296
36.600,275.246,0.967998
36.700,272.367,0.978759
36.800,276.238,0.940378
36.900,276.078,0.944813
37.000,277.688,0.961149
37.100,275.843,0.954869
37.200,285.409,0.909028
37.300,254.315,0.960548
37.400,257.901,0.896628
37.500,257.267,0.876984
37.600,270.491,0.578698
37.700,282.221,0.781468
37.800,279.653,0.523355
37.900,280.719,0.458049
38.000,35.363,0.125917
38.100,43.521,0.048951
38.200,48.917,0.110008
38.300,1458.359,0.044750
38.400,185.998,0.517718
38.500,217.436,0.961307
38.600,243.169,0.954775
38.700,266.916,0.957990
38.800,276.256,0.943978
38.900,273.411,0.957655
39.000,268.568,0.976253
39.100,254.535,0.963531
39.200,256.783,0.976444
39.300,261.809,0.968526
39.400,271.636,0.972635
39.500,284.968,0.973398
39.600,295.893,0.963616
39.700,296.310,0.956351
39.800,300.346,0.958236
39.900,296.758,0.949044
40.000,298.496,0.972302
40.100,304.060,0.982185
40.200,300.733,0.968760
40.300,299.630,0.962153
40.400,304.185,0.981918
40.500,303.562,0.969797
40.600,298.121,0.973362
40.700,299.099,0.969200
40.800,303.557,0.965803
40.900,304.924,0.979698
41.000,288.145,0.892377
41.100,293.656,0.825736
41.200,284.517,0.964519
41.300,280.507,0.948611
41.400,303.796,0.963256
41.500,258.699,0.882520
41.600,259.175,0.952336
41.700,253.222,0.965271
41.800,307.072,0.939630
41.900,260.874,0.924651
42.000,256.051,0.971786
42.100,258.104,0.955726
42.200,278.702,0.963484
42.300,275.732,0.960258
42.400,275.789,0.958028
42.500,276.666,0.950913
42.600,276.640,0.950151
42.700,249.342,0.925714
42.800,258.974,0.955080
42.900,254.316,0.966276
43.000,256.829,0.977335
43.100,260.062,0.968883
43.200,257.032,0.973833
43.300,264.640,0.958918
43.400,262.635,0.968763
43.500,257.827,0.962695
43.600,265.544,0.977868
43.700,254.296,0.965851
43.800,261.574,0.964301
43.900,262.850,0.969315
44.000,218.143,0.664371
44.100,223.817,0.936967
44.200,225.900,0.966340
44.300,226.565,0.956833
44.400,207.721,0.953857
44.500,208.728,0.953217
44.600,225.640,0.785707
44.700,219.227,0.717478
44.800,209.130,0.949929
44.900,209.777,0.946088
45.000,247.551,0.904734
45.100,253.670,0.641476
45.200,191.840,0.669600
45.300,185.596,0.937765
45.400,195.758,0.786635
45.500,192.726,0.763633
45.600,204.675,0.949260
45.700,208.093,0.967536
45.800,204.229,0.962410
45.900,207.879,0.964189
46.000,205.470,0.964823
46.100,206.522,0.960722
46.200,206.492,0.965063
46.300,212.688,0.955797
46.400,185.961,0.960046
46.500,230.143,0.898650
46.600,213.738,0.963618
46.700,222.680,0.955085
46.800,220.182,0.957509
46.900,229.139,0.930893
47.000,223.142,0.959334
47.100,295.955,0.968824
47.200,261.125,0.940646
47.300,255.011,0.948094
47.400,255.255,0.948404
47.500,288.220,0.779210
47.600,283.103,0.602813
47.700,251.583,0.944396
47.800,255.920,0.968124
47.900,249.587,0.927416
48.000,224.148,0.944725
48.100,222.444,0.953367
48.200,223.201,0.948572
48.300,240.032,0.882306
48.400,256.045,0.964978
48.500,256.376,0.972987
48.600,260.589,0.950281
48.700,261.833,0.968172
48.800,259.017,0.961372
48.900,258.922,0.960378
49.000,259.024,0.969699
49.100,265.213,0.973717
49.200,262.034,0.971384
49.300,265.505,0.976883
49.400,259.454,0.971451
49.500,264.825,0.966894
49.600,264.279,0.949005
49.700,259.089,0.967032
49.800,259.850,0.968608
49.900,258.951,0.961848
50.000,259.464,0.964882
50.100,261.335,0.958914
50.200,262.164,0.972001
50.300,260.616,0.953109
50.400,267.455,0.852769
50.500,262.329,0.487460
50.600,262.785,0.920685
50.700,263.056,0.850823
50.800,263.290,0.871495
50.900,264.673,0.802927
51.000,265.179,0.481731
51.100,131.006,0.498358
51.200,130.657,0.552189
51.300,86.938,0.075396
51.400,189.586,0.027791
51.500,85.981,0.084064
51.600,80.580,0.029572
51.700,344.845,0.101375
51.800,32.203,0.023070
51.900,33.281,0.538994
52.000,119.062,0.043395
52.100,34.839,0.685730
52.200,389.644,0.152460
52.300,646.242,0.099077
52.400,579.037,0.059697
52.500,121.855,0.341987
52.600,1633.547,0.009665
52.700,1788.227,0.097107
52.800,232.219,0.900748
52.900,205.728,0.578166
53.000,263.567,0.897606
53.100,235.333,0.367241
53.200,242.053,0.401786
53.300,281.285,0.936052
53.400,290.336,0.942281
53.500,276.067,0.912878
53.600,298.594,0.967888
53.700,307.180,0.959489
53.800,313.846,0.947723
53.900,316.892,0.936570
54.000,309.208,0.965652
54.100,318.325,0.947465
54.200,310.923,0.957003
54.300,318.825,0.940318
54.400,312.027,0.967878
54.500,315.075,0.909108
54.600,317.962,0.752818
54.700,284.013,0.625497
54.800,289.607,0.823956
54.900,288.966,0.831794
55.000,227.130,0.291491
55.100,298.315,0.947769
55.200,309.536,0.941317
55.300,287.195,0.963058
55.400,286.576,0.959582
55.500,315.355,0.945963
55.600,296.617,0.913006
55.700,290.187,0.927094
55.800,259.638,0.945171
55.900,272.827,0.964237
56.000,252.967,0.960007
56.100,245.580,0.583825
56.200,254.277,0.705638
56.300,254.203,0.561887
56.400,272.184,0.838464
56.500,257.303,0.268999
56.600,250.965,0.385839
56.700,267.774,0.235420
56.800,270.015,0.204003
56.900,1774.445,0.073710
57.000,1846.167,0.018501
57.100,239.881,0.851239
57.200,267.869,0.946121
57.300,121.527,0.461804
57.400,227.056,0.149423
57.500,265.023,0.893652
57.600,275.016,0.955957
57.700,244.943,0.402838
57.800,289.873,0.948294
57.900,286.750,0.964393
58.000,284.097,0.970897
58.100,277.683,0.966958
58.200,267.553,0.968562
58.300,267.951,0.969975
58.400,293.363,0.904920
58.500,310.776,0.945821
58.600,310.577,0.927674
58.700,303.527,0.943722
58.800,320.828,0.840164
58.900,304.807,0.893131
59.000,305.759,0.876921
59.100,308.298,0.889626
59.200,318.200,0.770807
59.300,322.918,0.611295
59.400,242.817,0.432872
59.500,268.198,0.916675
59.600,351.412,0.783976
59.700,305.840,0.822366
59.800,318.795,0.949477
59.900,308.734,0.969102
60.000,329.159,0.855698
60.100,302.813,0.287919
60.200,318.522,0.931834
60.300,327.376,0.942564
60.400,284.054,0.927149
60.500,291.512,0.950264
60.600,286.961,0.945746
60.700,291.329,0.953925
60.800,287.155,0.948486
60.900,283.783,0.949616
61.000,261.182,0.828150
61.100,261.743,0.941311
61.200,262.747,0.956245
61.300,261.831,0.954395
61.400,258.344,0.940717
61.500,258.692,0.439616
61.600,262.270,0.319501
61.700,289.228,0.927990
61.800,276.431,0.341406
61.900,253.623,0.665283
62.000,299.129,0.844624
62.100,252.306,0.555256
62.200,318.225,0.755620
62.300,284.292,0.969739
62.400,278.983,0.951135
62.500,316.568,0.801280
62.600,262.995,0.959859
62.700,299.590,0.945320
62.800,249.825,0.938911
