time,frequency,confidence
0.000,353.149,0.162888
0.100,193.775,0.045865
0.200,32.356,0.046335
0.300,172.640,0.590780
0.400,155.807,0.020841
0.500,1234.265,0.014338
0.600,126.267,0.058451
0.700,56.119,0.482448
0.800,1782.922,0.203993
0.900,212.325,0.494777
1.000,271.571,0.969553
1.100,283.883,0.978699
1.200,284.365,0.970615
1.300,329.700,0.961432
1.400,342.329,0.857913
1.500,353.205,0.963575
1.600,352.928,0.962258
1.700,352.327,0.960260
1.800,351.027,0.978363
1.900,349.480,0.973932
2.000,353.567,0.963171
2.100,349.673,0.951870
2.200,350.760,0.948018
2.300,353.173,0.953882
2.400,347.688,0.956638
2.500,355.584,0.966053
2.600,349.029,0.958843
2.700,354.143,0.970092
2.800,347.462,0.960047
2.900,347.413,0.961947
3.000,346.378,0.975444
3.100,342.683,0.968137
3.200,346.545,0.982935
3.300,357.354,0.969635
3.400,347.709,0.957891
3.500,344.748,0.965986
3.600,354.503,0.974856
3.700,348.474,0.942468
3.800,349.561,0.944816
3.900,351.787,0.923834
4.000,350.974,0.927820
4.100,351.374,0.939290
4.200,368.997,0.826931
4.300,747.254,0.687490
4.400,363.386,0.850654
4.500,349.281,0.969835
4.600,363.565,0.962833
4.700,354.126,0.963709
4.800,355.489,0.962393
4.900,344.760,0.938079
5.000,362.102,0.946282
5.100,351.380,0.953038
5.200,356.827,0.939115
5.300,350.491,0.972680
5.400,352.696,0.955555
5.500,351.929,0.953804
5.600,370.114,0.632877
5.700,374.186,0.765324
5.800,349.653,0.944379
5.900,354.910,0.968531
6.000,351.697,0.960041
6.100,366.290,0.903543
6.200,375.922,0.922685
6.300,371.841,0.939324
6.400,353.663,0.934202
6.500,336.645,0.910787
6.600,386.339,0.760281
6.700,304.523,0.977143
6.800,306.097,0.977117
6.900,297.285,0.926106
7.000,309.322,0.961892
7.100,306.448,0.966475
7.200,303.756,0.961524
7.300,310.682,0.903036
7.400,285.458,0.960304
7.500,286.080,0.955728
7.600,282.297,0.948623
7.700,290.154,0.946225
7.800,311.291,0.969350
7.900,269.888,0.968213
8.000,272.630,0.969717
8.100,286.498,0.955005
8.200,284.035,0.973501
8.300,282.835,0.934944
8.400,281.678,0.945590
8.500,281.964,0.931958
8.600,282.659,0.933415
8.700,283.778,0.973787
8.800,285.477,0.972305
8.900,281.900,0.959461
9.000,283.240,0.953133
9.100,280.903,0.953707
9.200,285.987,0.945913
9.300,283.366,0.943397
9.400,292.008,0.665369
9.500,297.260,0.952054
9.600,352.097,0.895969
9.700,289.581,0.928892
9.800,332.643,0.885803
9.900,298.837,0.966017
10.000,307.784,0.943119
10.100,300.634,0.934372
10.200,284.074,0.973500
10.300,285.577,0.959157
10.400,301.365,0.978130
10.500,299.803,0.949932
10.600,305.938,0.970530
10.700,301.195,0.963272
10.800,338.744,0.808147
10.900,273.815,0.943275
11.000,280.120,0.918961
11.100,283.433,0.962848
11.200,249.137,0.691429
11.300,316.658,0.960154
11.400,295.593,0.956138
11.500,304.926,0.981981
11.600,296.187,0.954831
11.700,307.410,0.966835
11.800,310.867,0.960617
11.900,291.781,0.960019
12.000,344.997,0.957543
12.100,342.159,0.968953
12.200,353.700,0.969653
12.300,346.163,0.955832
12.400,350.244,0.946842
12.500,354.993,0.949723
12.600,344.565,0.909745
12.700,352.777,0.913926
12.800,342.438,0.933106
12.900,356.167,0.928426
13.000,348.295,0.924409
13.100,331.800,0.720350
13.200,330.648,0.426009
13.300,361.485,0.597148
13.400,383.805,0.796421
13.500,305.126,0.972007
13.600,351.291,0.895442
13.700,304.718,0.977113
13.800,327.326,0.719732
13.900,302.313,0.965960
14.000,322.354,0.546655
14.100,286.648,0.959588
14.200,288.211,0.928057
14.300,324.602,0.901835
14.400,277.317,0.963761
14.500,283.124,0.954794
14.600,326.749,0.834933
14.700,351.163,0.491092
14.800,138.296,0.709111
14.900,278.951,0.952544
15.000,265.510,0.960652
15.100,272.697,0.971200
15.200,284.576,0.654203
15.300,278.168,0.879936
15.400,275.857,0.813372
15.500,280.284,0.838433
15.600,279.208,0.796318
15.700,277.973,0.460541
15.800,279.871,0.425668
15.900,154.013,0.139519
16.000,32.097,0.141669
16.100,40.742,0.103492
16.200,37.680,0.113185
16.300,79.552,0.100608
16.400,179.666,0.288318
16.500,79.894,0.092183
16.600,167.039,0.225143
16.700,157.329,0.235334
16.800,153.843,0.178597
16.900,173.192,0.048464
17.000,1738.966,0.268305
17.100,95.476,0.102364
17.200,64.762,0.101052
17.300,1753.156,0.288268
17.400,32.348,0.258288
17.500,32.952,0.231184
17.600,79.573,0.115426
17.700,132.318,0.750899
17.800,328.866,0.869799
17.900,361.021,0.950327
18.000,744.231,0.790377
18.100,378.462,0.783264
18.200,352.119,0.958970
18.300,352.853,0.957655
18.400,376.034,0.961777
18.500,315.257,0.881035
18.600,307.290,0.941432
18.700,307.134,0.962303
18.800,302.367,0.974055
18.900,304.179,0.975110
19.000,303.390,0.954839
19.100,305.045,0.979721
19.200,307.076,0.962080
19.300,276.863,0.832885
19.400,285.437,0.927755
19.500,281.969,0.936298
19.600,284.060,0.963616
19.700,285.455,0.965834
19.800,280.977,0.936112
19.900,281.598,0.959805
